timestamp,min,max,avg
0,1.6943960189819336,3.327063798904419,2.2730491161346436
300,1.7240883111953735,2.9711313247680664,2.3085789680480957
600,1.8374245166778564,8.274087905883789,3.052560567855835
900,1.790263056755066,12.027083396911621,3.6247849464416504
1200,1.6402037143707275,3.4927124977111816,2.3493196964263916
1500,1.736435890197754,3.2248241901397705,2.38669753074646
1800,1.8028385639190674,8.288990020751953,2.863506555557251
2100,1.785811185836792,11.818246841430664,3.1534264087677
2400,1.7514477968215942,3.5777812004089355,2.2839488983154297
2700,1.8009260892868042,3.022207260131836,2.2973408699035645
3000,1.775371789932251,7.146046161651611,3.6151506900787354
3300,1.6895232200622559,12.730965614318848,3.205256700515747
3600,1.759840726852417,3.7286252975463867,2.3026599884033203
3900,1.8345102071762085,3.1778743267059326,2.2126669883728027
4200,1.7828744649887085,6.709423065185547,2.7495005130767822
4500,1.7174077033996582,12.851211547851562,3.616776943206787
4800,1.7753181457519531,3.4673173427581787,2.2883687019348145
5100,1.8183401823043823,3.6511964797973633,2.421276092529297
5400,1.8308621644973755,7.797900199890137,2.836331367492676
5700,1.858502984046936,12.846968650817871,3.2125682830810547
6000,1.7847273349761963,3.794957160949707,2.273223400115967
6300,1.707066535949707,2.992696523666382,2.277050733566284
6600,1.8098593950271606,10.868659973144531,3.6559228897094727
6900,1.80915105342865,12.44729232788086,3.3131136894226074
7200,1.8127586841583252,4.864542007446289,2.6154181957244873
7500,1.639827013015747,3.2422003746032715,2.284879684448242
7800,1.7478985786437988,7.341296672821045,2.7881247997283936
8100,1.6538444757461548,12.318623542785645,3.584144353866577
8400,1.7605762481689453,3.4304685592651367,2.329606771469116
8700,1.9227561950683594,4.652932167053223,2.660430669784546
9000,1.81057608127594,8.095569610595703,2.8629016876220703
9300,1.7482620477676392,12.476699829101562,3.3123202323913574
9600,1.826369047164917,3.8560850620269775,2.3032188415527344
9900,1.7899487018585205,3.635942220687866,2.3730287551879883
10200,1.7663954496383667,7.83354377746582,3.533930540084839
10500,1.829115629196167,17.252227783203125,5.545845031738281
10800,1.7984205484390259,3.7311792373657227,2.3582217693328857
11100,1.6979597806930542,3.326016426086426,2.2459144592285156
11400,1.771569848060608,7.473559379577637,2.8847496509552
11700,2.0492427349090576,15.633240699768066,3.7415831089019775
12000,1.8574203252792358,3.4964652061462402,2.302351474761963
12300,1.7726256847381592,3.484851598739624,2.374718189239502
12600,1.7305394411087036,7.598440170288086,2.807948350906372
12900,1.7724157571792603,12.4005126953125,3.343872308731079
13200,1.7006452083587646,4.53595495223999,2.3477208614349365
13500,1.700494408607483,3.0730345249176025,2.2417187690734863
13800,1.6824630498886108,7.868888854980469,2.8987770080566406
14100,1.962740421295166,12.200699806213379,4.087535858154297
14400,1.7943898439407349,4.1474995613098145,2.2896006107330322
14700,1.6829235553741455,3.9922661781311035,2.3288116455078125
15000,1.9363089799880981,7.485863208770752,3.0181453227996826
15300,1.7474644184112549,15.329261779785156,3.4982545375823975
15600,1.8085623979568481,3.8689653873443604,2.4537692070007324
15900,1.6824605464935303,5.594326019287109,2.5330467224121094
16200,1.775492787361145,7.479141712188721,2.8109517097473145
16500,1.690547227859497,10.336359977722168,3.8961899280548096
16800,1.7785228490829468,3.92537260055542,2.4052741527557373
17100,1.8031038045883179,9.28518295288086,2.98275089263916
17400,1.7092152833938599,7.903544902801514,2.7989237308502197
17700,1.9491716623306274,9.988092422485352,4.206358909606934
18000,1.7269840240478516,3.8409407138824463,2.361713171005249
18300,1.895914077758789,5.697843551635742,2.4867818355560303
18600,1.9684014320373535,8.481618881225586,2.9164531230926514
18900,1.8308629989624023,10.102155685424805,3.5971412658691406
19200,1.7325716018676758,4.009287357330322,2.360628843307495
19500,1.8646619319915771,24.340187072753906,5.324832439422607
19800,1.700033187866211,7.943998336791992,2.7773187160491943
20100,1.7414960861206055,8.648348808288574,3.921109437942505
20400,1.5109562873840332,4.15887451171875,2.2628350257873535
20700,1.7391571998596191,3.3069121837615967,2.2425811290740967
21000,1.616827130317688,7.7543721199035645,2.827138900756836
21300,1.9148848056793213,10.913163185119629,4.104950428009033
21600,1.6807917356491089,3.820582866668701,2.2838897705078125
21900,1.8666961193084717,3.321239948272705,2.4148635864257812
22200,1.7952631711959839,7.723628044128418,2.744359254837036
22500,1.6851669549942017,11.575894355773926,3.6004343032836914
22800,1.7369798421859741,3.5218000411987305,2.399251699447632
23100,1.6498857736587524,4.375408172607422,2.55403995513916
23400,1.611467719078064,7.349822521209717,2.8896899223327637
23700,1.861183524131775,10.680216789245605,3.4733214378356934
24000,1.740495204925537,3.75402569770813,2.366147756576538
24300,1.8326833248138428,3.0226683616638184,2.3095788955688477
24600,1.726717472076416,7.621335983276367,2.8193581104278564
24900,2.168633460998535,11.812016487121582,4.1998209953308105
25200,1.8534927368164062,3.215648651123047,2.4198832511901855
25500,1.7744882106781006,3.056236743927002,2.249962329864502
25800,1.756038784980774,7.996379375457764,2.8510799407958984
26100,1.7310477495193481,13.930490493774414,3.646878719329834
26400,1.7598177194595337,3.494213819503784,2.529819965362549
26700,1.7376326322555542,4.827207565307617,2.5219876766204834
27000,1.826232671737671,7.1836934089660645,2.87831974029541
27300,1.839453935623169,13.281869888305664,3.415661334991455
27600,1.698329210281372,3.656064748764038,2.3318681716918945
27900,1.823954463005066,4.073620319366455,2.4754881858825684
28200,1.7862365245819092,5.540596961975098,2.8414061069488525
28500,1.6703938245773315,12.11569881439209,3.4845409393310547
28800,1.8405057191848755,6.449443817138672,2.8954882621765137
29100,1.6086400747299194,3.0626606941223145,2.2699170112609863
29400,1.6822843551635742,7.4549641609191895,3.034262180328369
29700,1.9896811246871948,12.961973190307617,3.8555431365966797
30000,1.9844645261764526,3.3482797145843506,2.477604866027832
30300,1.5433027744293213,5.8669867515563965,2.7721903324127197
30600,1.7690457105636597,7.562784194946289,3.0856359004974365
30900,1.9694395065307617,12.86701774597168,3.311295509338379
31200,1.8082377910614014,3.8907902240753174,2.3724443912506104
31500,1.9215941429138184,2.834217071533203,2.3164849281311035
31800,1.7071505784988403,7.945049285888672,2.8753950595855713
32100,1.6937737464904785,12.433136940002441,3.3761332035064697
32400,1.75381338596344,6.662907123565674,3.0851504802703857
32700,1.8591221570968628,3.1200342178344727,2.2683329582214355
33000,1.9124089479446411,5.512370586395264,2.893781900405884
33300,1.7728155851364136,12.6044340133667,3.633230209350586
33600,1.8086386919021606,3.379054546356201,2.3981034755706787
33900,1.7072030305862427,5.615530014038086,2.7427334785461426
34200,1.8979958295822144,7.686424732208252,2.8360543251037598
34500,1.9949800968170166,13.09823989868164,3.7803401947021484
34800,1.7946261167526245,3.413856267929077,2.347702980041504
35100,1.9107518196105957,3.044113874435425,2.3676178455352783
35400,1.773983120918274,7.193736553192139,2.8479104042053223
35700,1.894439458847046,12.474961280822754,3.3280370235443115
36000,1.8655710220336914,7.975285530090332,3.1189000606536865
36300,1.8369673490524292,3.1081042289733887,2.3694353103637695
36600,1.7909467220306396,8.372770309448242,2.946143627166748
36900,1.8094110488891602,12.84697151184082,3.8760910034179688
37200,1.9414690732955933,9.961079597473145,2.8503518104553223
37500,1.8523790836334229,5.625236511230469,2.674805164337158
37800,1.6634864807128906,7.237463474273682,3.1294381618499756
38100,1.7043540477752686,14.545973777770996,3.4609296321868896
38400,1.8449294567108154,4.12005615234375,2.474698543548584
