timestamp,min,max,avg
0,2.987042188644409,9.53840160369873,5.156001091003418
300,2.819403886795044,6.116013526916504,3.7873122692108154
600,2.9866995811462402,6.5282182693481445,3.978990077972412
900,2.9697425365448,4.883429527282715,3.6566920280456543
1200,2.8437650203704834,4.929671764373779,3.574193239212036
1500,2.901387929916382,6.348395347595215,3.8607959747314453
1800,2.8454723358154297,5.232722282409668,3.6284072399139404
2100,3.296006917953491,6.426278114318848,4.0062713623046875
2400,3.435044765472412,51.61458206176758,11.093928337097168
2700,3.322577953338623,26.057910919189453,7.612149238586426
3000,3.7105536460876465,6.621091365814209,4.186164379119873
3300,3.5043904781341553,6.6866559982299805,4.4054670333862305
3600,3.778884172439575,25.445371627807617,12.394113540649414
3900,3.3315234184265137,33.25764846801758,11.498006820678711
4200,3.2324154376983643,5.46737003326416,4.09977388381958
4500,3.3633642196655273,5.110928058624268,3.8702449798583984
4800,3.319723606109619,5.1785969734191895,3.7864115238189697
5100,3.831725835800171,6.960042953491211,4.602157115936279
5400,3.425023317337036,5.521171569824219,3.980111837387085
5700,3.67095685005188,6.561831951141357,4.347150802612305
6000,3.3416969776153564,5.811302661895752,4.293161869049072
6300,3.504356861114502,7.008965969085693,4.664353370666504
6600,3.5925962924957275,5.418056011199951,4.132661819458008
6900,3.7752761840820312,6.728151321411133,4.387218475341797
7200,3.4318625926971436,9.898812294006348,5.2093892097473145
7500,3.9328219890594482,25.710739135742188,9.629590034484863
7800,7.635737419128418,14.224224090576172,11.576480865478516
8100,4.680540084838867,15.802739143371582,10.69614028930664
8400,3.682419538497925,5.388400554656982,4.2960524559021
8700,3.435063600540161,6.673774719238281,4.401859760284424
9000,3.5401089191436768,5.482342720031738,4.13730001449585
9300,3.7012546062469482,6.189076900482178,4.519353866577148
9600,3.9488167762756348,6.314951419830322,4.69040584564209
9900,3.7681453227996826,8.427665710449219,4.704965114593506
10200,3.4463088512420654,5.494735240936279,4.20356559753418
10500,3.0176079273223877,6.631114959716797,4.07373046875
10800,3.5841243267059326,6.206017971038818,4.451095104217529
